taxon	sequenceID	name	genus	core_shift	variable_region_type	clade	isolate	host_sci_name	host_common_name	sample_date	country
alignment/AL_Avihepadnavirus/member/ncbi-refseqs/AJ251934	AJ251934	STHBV	Avihepadnavirus	type-1	avi-1-modern	-	STHBV-1	Ciconia ciconia	-	-	Germany:Northern Germany
alignment/AL_Avihepadnavirus/member/ncbi-refseqs/AJ441111	AJ441111	CCHBV	Avihepadnavirus	type-1	avi-1-modern	-	CCHBV 1	Balearica regulorum	-	-	Germany:Berlin
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.1-neoaves	ehbv-avi.1-neoaves	ehbv-avi.1-neoaves	Avihepadnavirus	N/A	avi-3	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.10-melopsittacus	ehbv-avi.10-melopsittacus	ehbv-avi.10-melopsittacus	Avihepadnavirus	N/A	avi-1-modern	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.11-tyto	ehbv-avi.11-tyto	ehbv-avi.11-tyto	Avihepadnavirus	N/A	avi-2-rails	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.12-anatidae	ehbv-avi.12-anatidae	ehbv-avi.12-anatidae	Avihepadnavirus	N/A	avi-2-rails	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.14-gavia	ehbv-avi.14-gavia	ehbv-avi.14-gavia	Avihepadnavirus	N/A	avi-2-rails	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.15-gavia	ehbv-avi.15-gavia	ehbv-avi.15-gavia	Avihepadnavirus	N/A	avi-2-rails	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.19-buceros	ehbv-avi.19-buceros	ehbv-avi.19-buceros	Avihepadnavirus	N/A	avi-1-ancient	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.20-cariama	ehbv-avi.20-cariama	ehbv-avi.20-cariama	Avihepadnavirus	N/A	avi-3	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.22-tyto	ehbv-avi.22-tyto	ehbv-avi.22-tyto	Avihepadnavirus	N/A	avi-2-rails	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.23-psittaciformes	ehbv-avi.23-psittaciformes	ehbv-avi.23-psittaciformes	Avihepadnavirus	N/A	avi-4	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.25-chaetura	ehbv-avi.25-chaetura	ehbv-avi.25-chaetura	Avihepadnavirus	N/A	avi-3	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.28-alauda	ehbv-avi.28-alauda	ehbv-avi.28-alauda	Avihepadnavirus	N/A	avi-1-modern	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.29-psittacula	ehbv-avi.29-psittacula	ehbv-avi.29-psittacula	Avihepadnavirus	N/A	avi-4	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.31-passeriformes	ehbv-avi.31-passeriformes	ehbv-avi.31-passeriformes	Avihepadnavirus	N/A	avi-4	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.37-phylloscopus	ehbv-avi.37-phylloscopus	ehbv-avi.37-phylloscopus	Avihepadnavirus	N/A	avi-4	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/fasta-refseqs-ehbv/ehbv-avi.9-melopsittacus	ehbv-avi.9-melopsittacus	ehbv-avi.9-melopsittacus	Avihepadnavirus	N/A	avi-1-modern	-	-	-	-	-	-
alignment/AL_Avihepadnavirus/member/ncbi-refseqs/NC_001344	NC_001344	DHBV	Avihepadnavirus	type-2	avi-1-modern	-	DHBVQCA34	Anas platyrhynchos	-	-	-
alignment/AL_Avihepadnavirus/member/ncbi-refseqs/NC_001486	NC_001486	HHBV	Avihepadnavirus	type-1	avi-1-modern	-	-	Ardea cinerea	-	-	-
alignment/AL_Avihepadnavirus/member/ncbi-refseqs/NC_005888	NC_005888	RGHBV	Avihepadnavirus	type-1	avi-1-modern	-	-	Chen rossii	-	-	-
alignment/AL_Avihepadnavirus/member/ncbi-refseqs/NC_005890	NC_005890	SHBV	Avihepadnavirus	type-2	avi-1-modern	-	Ashy-headed sheldgoose hepatitis B virus	Chloephaga poliocephala	-	-	USA
alignment/AL_Avihepadnavirus/member/ncbi-refseqs/NC_005950	NC_005950	SGHBV	Avihepadnavirus	type-2	avi-1-modern	-	SGHBV1-13	Anser caerulescens	-	-	-
alignment/AL_Avihepadnavirus/member/ncbi-refseqs/NC_016561	NC_016561	PaHBV	Avihepadnavirus	type-1	avi-1-modern	-	PL	Psittacula krameri	-	-	Poland
alignment/AL_Avihepadnavirus/member/ncbi-refseqs/NC_035210	NC_035210	THBV	Avihepadnavirus	type-1	avi-1-modern	-	160050	Eudromia elegans	-	-	Germany
