taxon	sequenceID	name	core_shift	variable_region_type	genus	nearest_upstream_orf	nearest_downstream_orf
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Anser_brachyrhynchus_5196	Anser_brachyrhynchus_5196	Anser_brachyrhynchus_5196	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Anser_cygnoides_5199	Anser_cygnoides_5199	Anser_cygnoides_5199	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Ara_macao_2145	Ara_macao_2145	Ara_macao_2145	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Geospiza_fortis_2225	Geospiza_fortis_2225	Geospiza_fortis_2225	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Geospiza_fortis_5285	Geospiza_fortis_5285	Geospiza_fortis_5285	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Hemignathus_virens_5296	Hemignathus_virens_5296	Hemignathus_virens_5296	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Melopsittacus_undulatus_2273	Melopsittacus_undulatus_2273	Melopsittacus_undulatus_2273	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Parus_major_2293	Parus_major_2293	Parus_major_2293	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Patagioenas_fasciata_2298	Patagioenas_fasciata_2298	Patagioenas_fasciata_2298	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Phylloscopus_trochiloides_viridanus_5460	Phylloscopus_trochiloides_viridanus_5460	Phylloscopus_trochiloides_viridanus_5460	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Pseudopodoces_humilis_2314	Pseudopodoces_humilis_2314	Pseudopodoces_humilis_2314	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Pseudopodoces_humilis_2315	Pseudopodoces_humilis_2315	Pseudopodoces_humilis_2315	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Psittacula_krameri_2319	Psittacula_krameri_2319	Psittacula_krameri_2319	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Serinus_canaria_5499	Serinus_canaria_5499	Serinus_canaria_5499	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Setophaga_coronata_5503	Setophaga_coronata_5503	Setophaga_coronata_5503	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Sporophila_hypoxantha_5513	Sporophila_hypoxantha_5513	Sporophila_hypoxantha_5513	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Zonotrichia_albicollis_1727	Zonotrichia_albicollis_1727	Zonotrichia_albicollis_1727	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Zonotrichia_albicollis_1728	Zonotrichia_albicollis_1728	Zonotrichia_albicollis_1728	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Zonotrichia_albicollis_2398	Zonotrichia_albicollis_2398	Zonotrichia_albicollis_2398	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Zonotrichia_albicollis_3267	Zonotrichia_albicollis_3267	Zonotrichia_albicollis_3267	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Zonotrichia_albicollis_3272	Zonotrichia_albicollis_3272	Zonotrichia_albicollis_3272	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Zonotrichia_albicollis_5561	Zonotrichia_albicollis_5561	Zonotrichia_albicollis_5561	-	-	Avihepadnavirus	-	-
alignment/AL_EHBV-avi.31-passeriformes/member/fasta-digs-ehbv/Zonotrichia_albicollis_5564	Zonotrichia_albicollis_5564	Zonotrichia_albicollis_5564	-	-	Avihepadnavirus	-	-
