record_ID	organism	id	locus_id	assigned_name	virus_family	virus_genus	virus_clade	locus_numeric_id	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	assigned_name	assigned_gene	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches	host_class	host_superorder	major_clade	middle_clade	minor_clade	host_order	host_family	host_genus
5164	Amazona_aestiva	Amazona_aestiva_5164	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	ASM142067v1	GCA_001420675.1_ASM142067v1_genomic.fa	ORF	LMAW01002613.1	656989	659670	2682	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	-	263	62.548	0	1	154	408	602	1354	259	5	85	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Psittaciformes	Psittacidae	Amazona
5200	Antrostomus_carolinensis	Antrostomus_carolinensis_5200	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	bgi_2011-10-28	Antrostomus_carolinensis.scaf.noBacterial.fa	ORF	scaffold6095	2257	2922	666	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	-	180	46.364	1	54	590	808	7	663	220	2	116	Aves	Neognathae	Neoaves	NULL	Strisores	Caprimulgiformes	Caprimulgidae	Caprimulgus
5216	Ara_macao	Ara_macao_5216	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	AOUJ01462462.1	368	787	420	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	-	202	77.941	6	64	695	830	7	414	136	0	30	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Psittaciformes	Psittacidae	Ara
1289	Cuculus_canorus	Cuculus_canorus_1289	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	bgi_2011-10-28	Cuculus_canorus.scaf.noBacterial.fa	ORF	scaffold803	536936	537175	240	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	+	66	43.75	1	16	689	768	1	240	80	0	45	Aves	Neognathae	Neoaves	NULL	Columbaves	Cuculiformes	Cuculidae	Cuculus
5309	Lepidothrix_coronata	Lepidothrix_coronata_5309	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	1	GCA_001604755.1_Lepidothrix_coronata-1.0_genomic.fa	ORF	KV388162.1	2223998	2226884	2887	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	+	275	53.55	0	1	384	705	1563	2525	338	6	124	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Pipridae	Lepidothrix
5321	Manacus_vitellinus	Manacus_vitellinus_5321	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	28/10/2011	Manacus_vitellinus.scaf.noBacterial.fa	ORF	scaffold21	245370	248233	2864	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	+	297	61.338	0	1	236	500	1134	1931	269	4	97	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Passeriformes	Pipridae	Manacus
5396	Nestor_notabilis	Nestor_notabilis_5396	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	bgi_2011-10-28	Nestor_notabilis.scaf.noBacterial.fa	ORF	scaffold30203	39077	41799	2723	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	+	241	53.039	0	1	153	500	710	1738	362	8	137	Aves	Neognathae	Neoaves	Inopaves	Australiaves	Psittaciformes	Psittacidae	Nestor
5410	Patagioenas_fasciata	Patagioenas_fasciata_5410	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	NIATT_ARIZONA	GCA_002029285.1_NIATT_ARIZONA_genomic.fna	ORF	LSYS01004095.1	2543840	2544457	618	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	-	271	69.118	6	88	659	830	1	612	204	1	31	Aves	Neognathae	Neoaves	NULL	Columbaves	Columbiformes	Columbidae	Patagioenas
5463	Picoides_pubescens	Picoides_pubescens_5463	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	bgi_2011-10-28	Picoides_pubescens.scaf.noBacterial.fa	ORF	scaffold148	2440298	2440633	336	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	+	94	51.754	5	26	853	933	1	336	114	2	20	Aves	Neognathae	Neoaves	Inopaves	Coraciimorphae	Piciformes	Picidae	Picoides
5467	Podiceps_cristatus	Podiceps_cristatus_5467	ehbv-avi.1-neoaves	eHBV-Avi.1-Neoaves-eZHBVC	Hepadnaviridae	Avihepadnavirus	NULL	1	low_coverage	bgi_2011-10-28	Podiceps_cristatus.scaf.noBacterial.fa	ORF	scaffold11994	28003	30929	2927	eHBV-Avi.1-Neoaves-eZHBVC	polyprotein	+	765	56.81	0	1	2	830	453	2921	859	17	305	Aves	Neognathae	Neoaves	NULL	NULL	Podicipediformes	Podicipedidae	Podiceps
