taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Amazona_aestiva_5173	Amazona_aestiva_5173	Amazona_aestiva_5173	Avihepadnavirus	LMAW01002778.1	64.815	81	Amazona aestiva	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Amazona_vittata_27314	Amazona_vittata_27314	Amazona_vittata_27314	Avihepadnavirus	KB281127.1	66.667	81	Amazona vittata	Amazona	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Ara_macao_5208	Ara_macao_5208	Ara_macao_5208	Avihepadnavirus	KE103579.1	64.815	79	Ara macao	Ara	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Erythrura_gouldiae_27362	Erythrura_gouldiae_27362	Erythrura_gouldiae_27362	Avihepadnavirus	QUSF01000120.1	82.667	126	Erythrura gouldiae	Erythrura	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Erythrura_gouldiae_27363	Erythrura_gouldiae_27363	Erythrura_gouldiae_27363	Avihepadnavirus	QUSF01000119.1	81.333	124	Erythrura gouldiae	Erythrura	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Erythrura_gouldiae_27366	Erythrura_gouldiae_27366	Erythrura_gouldiae_27366	Avihepadnavirus	QUSF01009756.1	73.171	124	Erythrura gouldiae	Erythrura	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Eupsittula_pertinax_28651	Eupsittula_pertinax_28651	Eupsittula_pertinax_28651	Avihepadnavirus	WUQE01014967.1	64.815	79	Eupsittula pertinax	Eupsittula	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Geospiza_fortis_4920	Geospiza_fortis_4920	Geospiza_fortis_4920	Avihepadnavirus	JH740062	69.355	81	Geospiza fortis	Geospiza	Thraupidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Guaruba_guarouba_28681	Guaruba_guarouba_28681	Guaruba_guarouba_28681	Avihepadnavirus	JAABOC010019341.1	64.815	79	Guaruba guarouba	Guaruba	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Hemignathus_virens_27390	Hemignathus_virens_27390	Hemignathus_virens_27390	Avihepadnavirus	LTAT01000030.1	77.444	196	Hemignathus virens	Hemignathus	Fringillidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Junco_hyemalis_27394	Junco_hyemalis_27394	Junco_hyemalis_27394	Avihepadnavirus	QZWM01004448.1	57.522	110	Junco hyemalis	Junco	Passerellidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Junco_hyemalis_4414	Junco_hyemalis_4414	Junco_hyemalis_4414	Avihepadnavirus	QZWM01003291.1	88.636	79	Junco hyemalis	Junco	Passerellidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Lonchura_striata_domestica_27398	Lonchura_striata_domestica_27398	Lonchura_striata_domestica_27398	Avihepadnavirus	NW_018657112.1	86.667	131	Lonchura striata domestica	Lonchura	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Lonchura_striata_domestica_27399	Lonchura_striata_domestica_27399	Lonchura_striata_domestica_27399	Avihepadnavirus	NW_018655770.1	76.724	184	Lonchura striata domestica	Lonchura	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Lonchura_striata_domestica_5319	Lonchura_striata_domestica_5319	Lonchura_striata_domestica_5319	Avihepadnavirus	NW_018656404.1	71.951	119	Lonchura striata domestica	Lonchura	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Molothrus_ater_28687	Molothrus_ater_28687	Molothrus_ater_28687	Avihepadnavirus	CM022865.1	76.562	96	Molothrus ater	Molothrus	Icteridae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Passer_domesticus_27428	Passer_domesticus_27428	Passer_domesticus_27428	Avihepadnavirus	CM004554.1	90.511	252	Passer domesticus	Passer	Passeridae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Passer_domesticus_5409	Passer_domesticus_5409	Passer_domesticus_5409	Avihepadnavirus	CM004539.1	66.234	110	Passer domesticus	Passer	Passeridae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Psittacula_krameri_2320	Psittacula_krameri_2320	Psittacula_krameri_2320	Avihepadnavirus	NFZL01000014.1	55.769	69	Psittacula krameri	Psittacula	Psittacidae	Psittaciformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Serinus_canaria_27459	Serinus_canaria_27459	Serinus_canaria_27459	Avihepadnavirus	gi|668343315|ref|NW_007931166.1|	86.047	223	Serinus canaria	Serinus	Fringillidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Setophaga_coronata_27462	Setophaga_coronata_27462	Setophaga_coronata_27462	Avihepadnavirus	MDLI01000283.1	60.417	117	Setophaga coronata	Setophaga	Parulidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Setophaga_coronata_4740	Setophaga_coronata_4740	Setophaga_coronata_4740	Avihepadnavirus	MDLI01000204.1	81.034	91	Setophaga coronata	Setophaga	Parulidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Sporophila_hypoxantha_27470	Sporophila_hypoxantha_27470	Sporophila_hypoxantha_27470	Avihepadnavirus	NDFG01000012.1	71.579	142	Sporophila hypoxantha	Sporophila	Thraupidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Sporophila_hypoxantha_5515	Sporophila_hypoxantha_5515	Sporophila_hypoxantha_5515	Avihepadnavirus	NDFG01000518.1	82.759	94	Sporophila hypoxantha	Sporophila	Thraupidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Taeniopygia_guttata_27476	Taeniopygia_guttata_27476	Taeniopygia_guttata_27476	Avihepadnavirus	chr12	79.07	166	Taeniopygia guttata	Taeniopygia	Estrildidae	Passeriformes
alignment/AL_EHBV-avi.8-australiaves/member/fasta-digs-ehbv/Taeniopygia_guttata_5523	Taeniopygia_guttata_5523	Taeniopygia_guttata_5523	Avihepadnavirus	chr26	70.37	114	Taeniopygia guttata	Taeniopygia	Estrildidae	Passeriformes
