taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_2622	Nannopterum_brasilianus_2622	Nannopterum_brasilianus_2622	Avihepadnavirus	NFME01001137.1	83.562	120	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_2660	Nannopterum_brasilianus_2660	Nannopterum_brasilianus_2660	Avihepadnavirus	NFME01007744.1	80	152	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_2675	Nannopterum_brasilianus_2675	Nannopterum_brasilianus_2675	Avihepadnavirus	NFME01069831.1	86.25	112	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_2676	Nannopterum_brasilianus_2676	Nannopterum_brasilianus_2676	Avihepadnavirus	NFME01005507.1	93.478	94	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_277	Nannopterum_brasilianus_277	Nannopterum_brasilianus_277	Avihepadnavirus	NFME01005507.1	89.831	110	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_278	Nannopterum_brasilianus_278	Nannopterum_brasilianus_278	Avihepadnavirus	NFME01003564.1	86.667	105	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_280	Nannopterum_brasilianus_280	Nannopterum_brasilianus_280	Avihepadnavirus	NFME01004844.1	85.714	109	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_282	Nannopterum_brasilianus_282	Nannopterum_brasilianus_282	Avihepadnavirus	NFME01028195.1	90.476	94	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_286	Nannopterum_brasilianus_286	Nannopterum_brasilianus_286	Avihepadnavirus	NFME01010549.1	89.286	104	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_288	Nannopterum_brasilianus_288	Nannopterum_brasilianus_288	Avihepadnavirus	NFME01006881.1	83.784	83	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_290	Nannopterum_brasilianus_290	Nannopterum_brasilianus_290	Avihepadnavirus	NFME01006491.1	89.286	106	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_301	Nannopterum_brasilianus_301	Nannopterum_brasilianus_301	Avihepadnavirus	NFME01005363.1	81.081	79	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_311	Nannopterum_brasilianus_311	Nannopterum_brasilianus_311	Avihepadnavirus	NFME01001148.1	90	115	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_3925	Nannopterum_brasilianus_3925	Nannopterum_brasilianus_3925	Avihepadnavirus	NFME01004950.1	85.417	125	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_3957	Nannopterum_brasilianus_3957	Nannopterum_brasilianus_3957	Avihepadnavirus	NFME01011476.1	87.097	130	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4461	Nannopterum_brasilianus_4461	Nannopterum_brasilianus_4461	Avihepadnavirus	NFME01002956.1	90.426	131	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4463	Nannopterum_brasilianus_4463	Nannopterum_brasilianus_4463	Avihepadnavirus	NFME01005181.1	83.962	139	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4464	Nannopterum_brasilianus_4464	Nannopterum_brasilianus_4464	Avihepadnavirus	NFME01000504.1	90.526	140	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4467	Nannopterum_brasilianus_4467	Nannopterum_brasilianus_4467	Avihepadnavirus	NFME01003564.1	91.579	145	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4469	Nannopterum_brasilianus_4469	Nannopterum_brasilianus_4469	Avihepadnavirus	NFME01011051.1	90.625	135	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4474	Nannopterum_brasilianus_4474	Nannopterum_brasilianus_4474	Avihepadnavirus	NFME01000960.1	91.667	121	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4477	Nannopterum_brasilianus_4477	Nannopterum_brasilianus_4477	Avihepadnavirus	NFME01006698.1	86.458	159	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4479	Nannopterum_brasilianus_4479	Nannopterum_brasilianus_4479	Avihepadnavirus	NFME01004979.1	91.579	145	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4480	Nannopterum_brasilianus_4480	Nannopterum_brasilianus_4480	Avihepadnavirus	NFME01001431.1	80.208	124	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4482	Nannopterum_brasilianus_4482	Nannopterum_brasilianus_4482	Avihepadnavirus	NFME01002055.1	88.298	122	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4485	Nannopterum_brasilianus_4485	Nannopterum_brasilianus_4485	Avihepadnavirus	NFME01012080.1	90.426	122	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4488	Nannopterum_brasilianus_4488	Nannopterum_brasilianus_4488	Avihepadnavirus	NFME01011682.1	89.362	137	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4489	Nannopterum_brasilianus_4489	Nannopterum_brasilianus_4489	Avihepadnavirus	NFME01011369.1	92.188	126	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4490	Nannopterum_brasilianus_4490	Nannopterum_brasilianus_4490	Avihepadnavirus	NFME01003514.1	85.417	158	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4491	Nannopterum_brasilianus_4491	Nannopterum_brasilianus_4491	Avihepadnavirus	NFME01001617.1	89.474	126	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4494	Nannopterum_brasilianus_4494	Nannopterum_brasilianus_4494	Avihepadnavirus	NFME01000766.1	88.542	122	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4495	Nannopterum_brasilianus_4495	Nannopterum_brasilianus_4495	Avihepadnavirus	NFME01000658.1	88.462	140	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4496	Nannopterum_brasilianus_4496	Nannopterum_brasilianus_4496	Avihepadnavirus	NFME01010585.1	87.5	136	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4501	Nannopterum_brasilianus_4501	Nannopterum_brasilianus_4501	Avihepadnavirus	NFME01003064.1	87.5	149	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4502	Nannopterum_brasilianus_4502	Nannopterum_brasilianus_4502	Avihepadnavirus	NFME01004124.1	93.75	144	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4507	Nannopterum_brasilianus_4507	Nannopterum_brasilianus_4507	Avihepadnavirus	NFME01007416.1	89.655	129	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4508	Nannopterum_brasilianus_4508	Nannopterum_brasilianus_4508	Avihepadnavirus	NFME01001131.1	85.417	165	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4957	Nannopterum_brasilianus_4957	Nannopterum_brasilianus_4957	Avihepadnavirus	NFME01002649.1	88.542	174	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4959	Nannopterum_brasilianus_4959	Nannopterum_brasilianus_4959	Avihepadnavirus	NFME01016494.1	88.095	147	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4961	Nannopterum_brasilianus_4961	Nannopterum_brasilianus_4961	Avihepadnavirus	NFME01003635.1	92.632	119	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
