taxon	sequenceID	name	genus	clade	isolate	host_sci_name	host_common_name	sample_date	country
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/AJ251934	AJ251934	STHBV	Avihepadnavirus	-	STHBV-1	Ciconia ciconia	-	-	Germany:Northern Germany
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/AJ441111	AJ441111	CCHBV	Avihepadnavirus	-	CCHBV 1	Balearica regulorum	-	-	Germany:Berlin
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs/AMDV	AMDV	AMDV	Metahepadnavirus	-	-	Astatotilapia sp	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs/CSKV	CSKV	CSKV	Parahepadnavirus	-	-	Oncorhynchus kisutch	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.1-neoaves-con	ehbv-avi.1-neoaves-con	ehbv-avi.1-neoaves-con	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.10-melopsittacus	ehbv-avi.10-melopsittacus	ehbv-avi.10-melopsittacus	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.11-tyto	ehbv-avi.11-tyto	ehbv-avi.11-tyto	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.14-gaviiformes	ehbv-avi.14-gaviiformes	ehbv-avi.14-gaviiformes	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.15-gaviiformes	ehbv-avi.15-gaviiformes	ehbv-avi.15-gaviiformes	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.19-buceros	ehbv-avi.19-buceros	ehbv-avi.19-buceros	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.20-cariama	ehbv-avi.20-cariama	ehbv-avi.20-cariama	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.22-tyto	ehbv-avi.22-tyto	ehbv-avi.22-tyto	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.25-chaetura	ehbv-avi.25-chaetura	ehbv-avi.25-chaetura	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.29-psittacula	ehbv-avi.29-psittacula	ehbv-avi.29-psittacula	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.31-passeriformes-con	ehbv-avi.31-passeriformes-con	ehbv-avi.31-passeriformes-con	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.35-pterocles	ehbv-avi.35-pterocles	-	-	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.37-phylloscopus	ehbv-avi.37-phylloscopus	ehbv-avi.37-phylloscopus	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs-ehbv/ehbv-avi.9-melopsittacus	ehbv-avi.9-melopsittacus	ehbv-avi.9-melopsittacus	Avihepadnavirus	-	-	-	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs/IMDV	IMDV	IMDV	Metahepadnavirus	-	-	Chionodraco hamatus	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/MH307930	MH307930	DCHBV	Orthohepadnavirus	-	Sydney2016	Felis catus	-	-	Australia
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/MH484442	MH484442	ClHBV	Orthohepadnavirus	-	CX88	Crocidura lasiura	-	-	China
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/MH716821	MH716821	AsHBV	Parahepadnavirus	-	-	Pagrus auratus	-	-	Australia
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/MH716822	MH716822	EsgHBV	Metahepadnavirus	-	-	Hyporhamphus australis	-	-	Australia
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/MK620908	MK620908	TaiHBV	Orthohepadnavirus	-	Tai	Philantomba maxwellii	-	-	Cote d'Ivoire
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_001344	NC_001344	DHBV	Avihepadnavirus	-	DHBVQCA34	Anas platyrhynchos	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_001484	NC_001484	GSHV	Orthohepadnavirus	-	-	Spermophilus beecheyi	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_001486	NC_001486	HHBV	Avihepadnavirus	-	-	Ardea cinerea	-	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_003977	NC_003977	HBV	Orthohepadnavirus	Primate	-	Homo sapiens	-	-	-
