taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_25	Agapornis_roseicollis_25	Agapornis_roseicollis_25	Avihepadnavirus	NDXB01010691.1	70.909	88	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_3297	Agapornis_roseicollis_3297	Agapornis_roseicollis_3297	Avihepadnavirus	NDXB01004860.1	67.327	140	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_3300	Agapornis_roseicollis_3300	Agapornis_roseicollis_3300	Avihepadnavirus	NDXB01000145.1	62.698	148	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_3301	Agapornis_roseicollis_3301	Agapornis_roseicollis_3301	Avihepadnavirus	NDXB01009491.1	71.212	100	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4252	Agapornis_roseicollis_4252	Agapornis_roseicollis_4252	Avihepadnavirus	NDXB01004574.1	66.667	87	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4264	Agapornis_roseicollis_4264	Agapornis_roseicollis_4264	Avihepadnavirus	NDXB01015759.1	79.245	94	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4265	Agapornis_roseicollis_4265	Agapornis_roseicollis_4265	Avihepadnavirus	NDXB01009662.1	36.626	118	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4266	Agapornis_roseicollis_4266	Agapornis_roseicollis_4266	Avihepadnavirus	NDXB01013358.1	57.534	85	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4829	Agapornis_roseicollis_4829	Agapornis_roseicollis_4829	Avihepadnavirus	NDXB01051584.1	63.043	198	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Agapornis_roseicollis_4833	Agapornis_roseicollis_4833	Agapornis_roseicollis_4833	Avihepadnavirus	NDXB01004873.1	71.605	125	Agapornis_roseicollis	Agapornis	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_2082	Amazona_aestiva_2082	Amazona_aestiva_2082	Avihepadnavirus	LMAW01002732.1	57.778	69	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_2088	Amazona_aestiva_2088	Amazona_aestiva_2088	Avihepadnavirus	LMAW01002818.1	62.222	68	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_43	Amazona_aestiva_43	Amazona_aestiva_43	Avihepadnavirus	LMAW01001869.1	67.347	68	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_5163	Amazona_aestiva_5163	Amazona_aestiva_5163	Avihepadnavirus	LMAW01002574.1	60.526	125	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
alignment/AL_EHBV-avi.23-psittaciformes/member/fasta-digs-ehbv/Amazona_aestiva_5166	Amazona_aestiva_5166	Amazona_aestiva_5166	Avihepadnavirus	LMAW01000048.1	57.895	128	Amazona_aestiva	Amazona	Psittacidae	Psittaciformes	Neoaves	Inopaves	Australiaves
