taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Anomalopteryx_didiformis_27504	Anomalopteryx_didiformis_27504	Anomalopteryx_didiformis_27504	Avihepadnavirus	SZQC01000082.1	79.762	135	Anomalopteryx didiformis	Anomalopteryx	Emeidae	Dinornithiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Apteryx_australis_mantelli_27513	Apteryx_australis_mantelli_27513	Apteryx_australis_mantelli_27513	Avihepadnavirus	gi|924844081|ref|NW_013997149.1|	92.308	121	Apteryx australis mantelli	Apteryx	Apterygidae	Apterygiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Apteryx_haastii_27516	Apteryx_haastii_27516	Apteryx_haastii_27516	Avihepadnavirus	PTFD01000677.1	90.769	119	Apteryx haastii	Apteryx	Apterygidae	Apterygiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Apteryx_rowi_27517	Apteryx_rowi_27517	Apteryx_rowi_27517	Avihepadnavirus	PTFB01001036.1	92.308	121	Apteryx rowi	Apteryx	Apterygidae	Apterygiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Casuarius_casuarius_27543	Casuarius_casuarius_27543	Casuarius_casuarius_27543	Avihepadnavirus	PTFA01000105.1	87.879	112	Casuarius casuarius	Casuarius	Casuariidae	Casuariiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Dromaius_novaehollandiae_27556	Dromaius_novaehollandiae_27556	Dromaius_novaehollandiae_27556	Avihepadnavirus	NW_020453882.1	89.394	114	Dromaius novaehollandiae	Dromaius	Dromaiidae	Casuariiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Pterocnemia_pennata_27668	Pterocnemia_pennata_27668	Pterocnemia_pennata_27668	Avihepadnavirus	PTJI01000185.1	87.342	143	Pterocnemia pennata	Pterocnemia	Rheidae	Rheiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Rhea_americana_27677	Rhea_americana_27677	Rhea_americana_27677	Avihepadnavirus	PTEV01000046.1	86.076	141	Rhea americana	Rhea	Rheidae	Rheiformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Struthio_camelus_3288	Struthio_camelus_3288	Struthio_camelus_3288	Avihepadnavirus	scaffold51	80.851	78	Struthio camelus	Struthio	Struthionidae	Struthioniformes
alignment/AL_EHBV-avi.13-paleognathae/member/fasta-digs-ehbv/Tinamus_guttatus_28092	Tinamus_guttatus_28092	Tinamus_guttatus_28092	Avihepadnavirus	scaffold4190	63.158	93	Tinamus guttatus	Tinamus	Tinamidae	Tinamiformes
