id	full_name	locus_id	locus_numeric_id	num_seqs	included_msa	nearest_upstream_orf	nearest_downstream_orf	minimum_age_ortho	family	genus	clade	host_group_taxlevel	host_group_name	host_sci_name	host_common_name
HEART-con	HEART consensus DS633349	HEART-con-DS633349			no				TE	TE				Ixodes	Ticks
ehbv-herpeto.1-serpentes-con	Endogenous x 1	ehbv-herpeto.1-serpentes-con	1		yes	TSHZ1	ZNF516		Hepadnaviridae	Herpetohepadnavirus	null	clade		Serpentes	null
ehbv-herpeto.3-crocodilia-con	Endogenous herpetohepadnavirus 3	ehbv-herpeto.3-crocodilia-con	2		yes				Hepadnaviridae	Herpetohepadnavirus	null			Crocodilia	null
ehbv-herpeto.5-testudines-con	Endogenous herpetohepadnavirus 5	ehbv-herpeto.5-testudines-con	5		yes				Hepadnaviridae	Herpetohepadnavirus	null			Testudines	null
ehbv-herpeto.6-varanus-con	Endogenous herpetohepadnavirus 6	ehbv-herpeto.6-varanus-con	6		yes			N/A	Hepadnaviridae	Herpetohepadnavirus	null	species		Varanus	null
ehbv-meta.1-sphenodon	Endogenous metahepadnavirus 1	ehbv-meta.1-sphenodon	1	1	yes			N/A	Hepadnaviridae	Metahepadnavirus	null	species		Sphenodon	null
ehbv-meta.2-varanus	Endogenous metahepadnavirus 2	ehbv-meta.2-varanus	2	1	yes			N/A	Hepadnaviridae	Metahepadnavirus	null	species		Varanus	
ehbv-meta.3-paroedura	Endogenous metahepadnavirus 3	ehbv-meta.3-paroedura	3	1	yes			N/A	Hepadnaviridae	Metahepadnavirus	null	species		paroedura	null
ehbv-meta.4-pelusios	Endogenous metahepadnavirus 4	ehbv-meta.4-pelusios	4	1	yes			N/A	Hepadnaviridae	Metahepadnavirus	null	species		pelusios	null
ehbv-meta.5-pelusios	Endogenous metahepadnavirus 5	ehbv-meta.5-pelusios	5	1	yes			N/A	Hepadnaviridae	Metahepadnavirus	null	species		pelusios	null
ehbv-meta.6-neoavis	Endogenous metahepadnavirus 6	ehbv-meta.6-neoaves	6		yes				Hepadnaviridae	Metahepadnavirus	null			neoaves	null
ehbv-hepadna.1-paroedura	Endogenous hepadnavirus 1	ehbv-hepadna.1-paroedura	1		yes				Hepadnaviridae	Orthohepadnavirus				Paroedura	null
ehbv-avi.1-neoaves	Endogenous avihepadnavirus 1	ehbv-avi.1-neoaves	1		yes				Hepadnaviridae	Avihepadnavirus				Neognathae	null
ehbv-avi.2-estrildidae	Endogenous avihepadnavirus 2	ehbv-avi.2-estrildidae	2		yes				Hepadnaviridae	Avihepadnavirus				Passeriformes	null
ehbv-avi.3-passeriformes	Endogenous avihepadnavirus 3	ehbv-avi.3-passeriformes	3		yes				Hepadnaviridae	Avihepadnavirus				Passeriformes	null
ehbv-avi.4-passeriformes	Endogenous avihepadnavirus 4	ehbv-avi.4-passeriformes	4		yes				Hepadnaviridae	Avihepadnavirus				Passeriformes	null
ehbv-avi.5-unranked	Endogenous avihepadnavirus 5	ehbv-avi.5-unranked	5		yes				Hepadnaviridae	Avihepadnavirus				Passeriformes	null
ehbv-avi.6-passeriformes	Endogenous avihepadnavirus 6	ehbv-avi.6-passeriformes	6		yes				Hepadnaviridae	Avihepadnavirus				Passeriformes	null
ehbv-avi.7-passeriformes	Endogenous avihepadnavirus 7	ehbv-avi.7-passeriformes	7		yes				Hepadnaviridae	Avihepadnavirus				Passeriformes	null
ehbv-avi.8-australiaves	Endogenous avihepadnavirus 8	ehbv-avi.8-australiaves	8		yes				Hepadnaviridae	Avihepadnavirus				Melopsittacus	null
ehbv-avi.9-melopsittacus	Endogenous avihepadnavirus 9	ehbv-avi.9-melopsittacus	9		yes				Hepadnaviridae	Avihepadnavirus				Melopsittacus	null
ehbv-avi.10-melopsittacus	Endogenous avihepadnavirus 10	ehbv-avi.10-melopsittacus	10		yes	E2F7	neuron navigator 3		Hepadnaviridae	Avihepadnavirus				Tyto	null
