taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Antigone_vipio_18021	Antigone_vipio_18021	Antigone_vipio_18021	Metahepadnavirus	BJEU01035877.1	65.957	149	Antigone_vipio	Gruidae	Gruidae	Gruiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Aptenodytes_forsteri_27511	Aptenodytes_forsteri_27511	Aptenodytes_forsteri_27511	Metahepadnavirus	Scaffold191	90.341	315	Aptenodytes forsteri	Aptenodytes	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Aquila_chrysaetos_canadensis_27520	Aquila_chrysaetos_canadensis_27520	Aquila_chrysaetos_canadensis_27520	Metahepadnavirus	gi|766829394|ref|NW_011950892.1|	79.856	224	Aquila chrysaetos canadensis	Aquila	Accipitridae	Falconiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Balearica_regulorum_27336	Balearica_regulorum_27336	Balearica_regulorum_27336	Metahepadnavirus	scaffold10019	72.611	220	Balearica regulorum	Balearica	Gruidae	Gruiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Bubo_blakistoni_27339	Bubo_blakistoni_27339	Bubo_blakistoni_27339	Metahepadnavirus	BJCB01006254.1	58.781	282	Bubo blakistoni	Bubo	Strigidae	Strigiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Cariama_cristata_27540	Cariama_cristata_27540	Cariama_cristata_27540	Metahepadnavirus	scaffold26485	79.487	461	Cariama cristata	Cariama	Cariamidae	Gruiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Cathartes_aura_4352	Cathartes_aura_4352	Cathartes_aura_4352	Metahepadnavirus	scaffold29482	84.936	468	Cathartes aura	Cathartes	Cathartidae	Ciconiiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Ciconia_boyciana_4359	Ciconia_boyciana_4359	Ciconia_boyciana_4359	Metahepadnavirus	BDFF01128302.1	86.735	180	Ciconia boyciana	Ciconia	Ciconiidae	Ciconiiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Fulmarus_glacialis_27575	Fulmarus_glacialis_27575	Fulmarus_glacialis_27575	Metahepadnavirus	scaffold26062	49.793	327	Fulmarus glacialis	Fulmarus	Procellariidae	Procellariiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Gavia_stellata_27578	Gavia_stellata_27578	Gavia_stellata_27578	Metahepadnavirus	Scaffold12476	89.811	452	Gavia stellata	Gavia	Gaviidae	gavia
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Grus_monacha_27289	Grus_monacha_27289	Grus_monacha_27289	Metahepadnavirus	BJET01028024.1	59.643	291	Grus monacha	Grus	Gruidae	Gruiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Haliaeetus_albicilla_27593	Haliaeetus_albicilla_27593	Haliaeetus_albicilla_27593	Metahepadnavirus	scaffold35452	60.938	239	Haliaeetus albicilla	Haliaeetus	Accipitridae	Falconiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Haliaeetus_leucocephalus_27595	Haliaeetus_leucocephalus_27595	Haliaeetus_leucocephalus_27595	Metahepadnavirus	Scaffold146	60.547	236	Haliaeetus leucocephalus	Haliaeetus	Accipitridae	Falconiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Himantopus_himantopus_27600	Himantopus_himantopus_27600	Himantopus_himantopus_27600	Metahepadnavirus	RSEF01000020.1	62.802	243	Himantopus himantopus	Himantopus	Recurvirostridae	Charadriiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Leptosomus_discolor_27604	Leptosomus_discolor_27604	Leptosomus_discolor_27604	Metahepadnavirus	Scaffold34810	83.824	117	Leptosomus discolor	Leptosomus	Leptosomidae	Coraciiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Nipponia_nippon_27627	Nipponia_nippon_27627	Nipponia_nippon_27627	Metahepadnavirus	Scaffold729	73.563	290	Nipponia nippon	Nipponia	Threskiornithidae	Pelecaniformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Nisaetus_nipalensis_28561	Nisaetus_nipalensis_28561	Nisaetus_nipalensis_28561	Metahepadnavirus	BJES01002559.1	80.576	229	Nisaetus nipalensis	Nisaetus	Accipitridae	Falconiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Patagioenas_fasciata_27639	Patagioenas_fasciata_27639	Patagioenas_fasciata_27639	Metahepadnavirus	LSYS01001150.1	64.423	204	Patagioenas fasciata	Patagioenas	Columbidae	Columbiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Phaethon_lepturus_27641	Phaethon_lepturus_27641	Phaethon_lepturus_27641	Metahepadnavirus	scaffold39851	77.5	294	Phaethon lepturus	Phaethon	Phaethontidae	Pelecaniformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Phoenicopterus_ruber_4686	Phoenicopterus_ruber_4686	Phoenicopterus_ruber_4686	Metahepadnavirus	scaffold37654	77.654	268	Phoenicopterus ruber	Phoenicopterus	Phoenicopteridae	Phoenicopteriformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Pygoscelis_adeliae_27670	Pygoscelis_adeliae_27670	Pygoscelis_adeliae_27670	Metahepadnavirus	Scaffold465	82.353	531	Pygoscelis adeliae	Pygoscelis	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Pygoscelis_antarcticus_27672	Pygoscelis_antarcticus_27672	Pygoscelis_antarcticus_27672	Metahepadnavirus	NDHD01000976.1	76.101	625	Pygoscelis antarcticus	Pygoscelis	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Pygoscelis_papua_27673	Pygoscelis_papua_27673	Pygoscelis_papua_27673	Metahepadnavirus	NDHF01000976.1	82.353	531	Pygoscelis papua	Pygoscelis	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Recurvirostra_avosetta_27675	Recurvirostra_avosetta_27675	Recurvirostra_avosetta_27675	Metahepadnavirus	SAYO01025060.1	79.878	221	Recurvirostra avosetta	Recurvirostra	Recurvirostridae	Charadriiformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Spheniscus_humboldti_28075	Spheniscus_humboldti_28075	Spheniscus_humboldti_28075	Metahepadnavirus	NDHA01000976.1	83.69	567	Spheniscus humboldti	Spheniscus	Spheniscidae	Sphenisciformes
alignment/AL_EHBV-meta.1-sauria/member/fasta-digs-ehbv/Spheniscus_magellanicus_28078	Spheniscus_magellanicus_28078	Spheniscus_magellanicus_28078	Metahepadnavirus	NDGX01000976.1	82.62	563	Spheniscus magellanicus	Spheniscus	Spheniscidae	Sphenisciformes
