taxon	sequenceID	name	core_shift	variable_region_type	genus	nearest_upstream_orf	nearest_downstream_orf
alignment/AL_GENUS_Avi/member/ncbi-refseqs/AJ251934	AJ251934	STHBV	type-1	avi-1-modern	Avihepadnavirus	-	-
alignment/AL_GENUS_Avi/member/ncbi-refseqs/AJ441111	AJ441111	CCHBV	type-1	avi-1-modern	Avihepadnavirus	-	-
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.14-gaviiformes	ehbv-avi.14-gaviiformes	ehbv-avi.14-gaviiformes	N/A	avi-2-rails	Avihepadnavirus	TAS1R3	DVL1
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.15-gaviiformes	ehbv-avi.15-gaviiformes	ehbv-avi.15-gaviiformes	N/A	avi-2-rails	Avihepadnavirus	TMEM182 (intronic)	TMEM182 (intronic)
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.17-passeriformes-con	ehbv-avi.17-passeriformes-con	ehbv-avi.17-passeriformes-con	N/A	ND	Avihepadnavirus	TIMM21/FBXO15	NETO1/CBLN2/lncRNA
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.26-psittaciformes	ehbv-avi.26-psittaciformes	ehbv-avi.26-psittaciformes	N/A	NK	Avihepadnavirus	ENSACOG00000002175	ENSACOG00000002296
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.28-alauda	ehbv-avi.28-alauda	ehbv-avi.28-alauda	N/A	NK	Avihepadnavirus	NK	NK
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.31-passeriformes-con	ehbv-avi.31-passeriformes-con	ehbv-avi.31-passeriformes-con	N/A	avi-4	Avihepadnavirus	ENSTGUG00000000478	LRRC2
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.32-tinamiformes-con	ehbv-avi.32-tinamiformes-con	ehbv-avi.32-tinamiformes-con	N/A	ND	Avihepadnavirus	OLFM4	nk
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.34-leptosomus	ehbv-avi.34-leptosomus	ehbv-avi.34-leptosomus	N/A	ND	Avihepadnavirus	LRRC2	nk
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.35-calypte	ehbv-avi.35-calypte	ehbv-avi.35-calypte	N/A	NK	Avihepadnavirus	TIMM21/FBXO15	CYB5A
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.36-callipepla	ehbv-avi.36-callipepla	ehbv-avi.36-callipepla	N/A	avi-5	Avihepadnavirus	NF	NF
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.42-passeriformes-con	ehbv-avi.42-passeriformes-con	ehbv-avi.42-passeriformes-con	N/A	NK	Avihepadnavirus	ABRACL/REPS1	TXLNB
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.43-gallirallus	ehbv-avi.43-gallirallus	ehbv-avi.43-gallirallus	N/A	NK	Avihepadnavirus	ENSMUNG00000008889	ENSMUNG00000008889
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.47-passer	ehbv-avi.47-passer	ehbv-avi.47-passer	N/A	NK	Avihepadnavirus	NK	NK
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.48-podiceps	ehbv-avi.48-podiceps	ehbv-avi.48-podiceps	N/A	NK	Avihepadnavirus	NK	NK
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.49-leptosomus	ehbv-avi.49-leptosomus	ehbv-avi.49-leptosomus	N/A	NK	Avihepadnavirus	NK	NK
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.50-anas_zonorhyncha	ehbv-avi.50-anas_zonorhyncha	ehbv-avi.50-anas_zonorhyncha	N/A	NK	Avihepadnavirus	NK	NK
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.51-psittaciformes-con	ehbv-avi.51-psittaciformes-con	-	-	-	-	-	-
alignment/AL_GENUS_Avi/member/fasta-refseqs-ehbv/ehbv-avi.52-melopsittacus	ehbv-avi.52-melopsittacus	ehbv-avi.52-melopsittacus	N/A	NK	Avihepadnavirus	ENSACOG00000002782	ENSACOG00000002891
alignment/AL_GENUS_Avi/member/ncbi-refseqs/NC_001344	NC_001344	DHBV	type-2	avi-1-modern	Avihepadnavirus	-	-
alignment/AL_GENUS_Avi/member/ncbi-refseqs/NC_001486	NC_001486	HHBV	type-1	avi-1-modern	Avihepadnavirus	-	-
alignment/AL_GENUS_Avi/member/ncbi-refseqs/NC_005888	NC_005888	RGHBV	type-1	avi-1-modern	Avihepadnavirus	-	-
alignment/AL_GENUS_Avi/member/ncbi-refseqs/NC_005890	NC_005890	SHBV	type-2	avi-1-modern	Avihepadnavirus	-	-
alignment/AL_GENUS_Avi/member/ncbi-refseqs/NC_005950	NC_005950	SGHBV	type-2	avi-1-modern	Avihepadnavirus	-	-
alignment/AL_GENUS_Avi/member/ncbi-refseqs/NC_016561	NC_016561	PaHBV	type-1	avi-1-modern	Avihepadnavirus	-	-
alignment/AL_GENUS_Avi/member/ncbi-refseqs/NC_035210	NC_035210	THBV	type-1	avi-1-modern	Avihepadnavirus	-	-
